venue_area,topic_label,paper_count,venue_count,venues,publication_year_span,avg_recognition_lag,avg_citation_count,avg_impact_breadth_score,source_url_coverage,openalex_coverage,representative_papers,report_use,safe_wording_boundary
Programming Languages,Real-Time / Embedded Systems,1,1,OOPSLA,2007-2007,10.0,523.0,59.8,1/1,1/1,Statistically rigorous Java performance evaluation (OOPSLA 2007),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Programming Languages,Simplicity,1,1,OOPSLA,1987-1987,20.0,909.0,59.8,1/1,1/1,Self: The power of simplicity (OOPSLA 1987),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Security,Data Mining / Web,1,1,USENIX Security,2003-2003,13.0,287.0,60.2,1/1,1/1,Preventing Privilege Escalation (USENIX Security 2003),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Security,Reinforcement Learning,1,1,USENIX Security,2006-2006,12.0,167.0,46.0,1/1,1/1,Evaluating SFI for a CISC Architecture (USENIX Security 2006),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Software Engineering,Computer science,1,1,ICSE,1976-1976,14.0,325.0,49.0,1/1,1/1,An Introduction to the Construction and Verification of Alphard Programs (ICSE 1976),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Software Engineering,Real-Time / Embedded Systems,1,1,ICSE,1979-1979,13.0,73.0,47.8,1/1,1/1,Software Development Control Based on Module Interconnection (ICSE 1979),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Systems,Natural Language Processing,1,1,FAST,2002-2002,11.0,1224.0,58.0,1/1,1/1,GPFS: A Shared-Disk File System for Large Computing Clusters (FAST 2002),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Systems,RAID,1,1,FAST,2004-2004,12.0,493.0,44.8,1/1,1/1,Row-Diagonal Parity for Double Disk Failure Correction (FAST 2004),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Systems,Reinforcement Learning,1,1,FAST,2003-2003,11.0,792.0,54.9,1/1,1/1,"ARC: A Self-Tuning, Low Overhead Replacement Cache (FAST 2003)","Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Systems/Networking,Data Mining / Web,1,1,NSDI,2004-2004,10.0,409.0,52.4,1/1,1/1,Operating System Support for Planetary-Scale Network Services (NSDI 2004),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Systems/Networking,Reinforcement Learning,1,1,NSDI,2004-2004,10.0,1136.0,58.1,1/1,1/1,Trickle: A Self-Regulating Algorithm for Code Propagation and Maintenance in Wireless Sensor Networks (NSDI 2004),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
Web,Data Mining / Web,1,1,WWW,2007-2007,11.0,1186.0,85.9,1/1,1/1,YAGO: A Core of Semantic Knowledge Unifying WordNet and Wikipedia (WWW 2007),"Use as a bridge between Topic Evolution and Venue/Field; choose representative rows, not a ranking.",Observed intersection in the current Test-of-Time award dataset; topic labels are automatic metadata and venue_area is not a quality ranking.
